Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-03-01 00:00:00+00:00,67039.0546875,67039.0546875,66992.4921875,66997.25,0
2026-03-01 00:05:00+00:00,66931.921875,67036.2734375,66931.921875,67036.2734375,18370560
2026-03-01 00:10:00+00:00,66856.8203125,66881.1796875,66842.3828125,66842.3828125,0
2026-03-01 00:15:00+00:00,66919.3359375,66923.8359375,66897.296875,66897.296875,0
2026-03-01 00:20:00+00:00,67021.0859375,67021.0859375,66867.0859375,66867.0859375,497995776
2026-03-01 00:25:00+00:00,66842.6953125,66964.9296875,66842.6953125,66964.9296875,0
2026-03-01 00:30:00+00:00,66732.0390625,66834.296875,66732.0390625,66796.265625,0
2026-03-01 00:35:00+00:00,66804.09375,66804.09375,66745.03125,66745.03125,195239936
2026-03-01 00:40:00+00:00,66667.78125,66763.7421875,66663.9296875,66754.796875,146391040
2026-03-01 00:45:00+00:00,66696.0625,66717.5859375,66663.75,66663.75,115449856
2026-03-01 00:50:00+00:00,66820.0859375,66820.0859375,66707.296875,66707.296875,81186816
2026-03-01 00:55:00+00:00,66821.7734375,66869.171875,66821.7734375,66869.171875,0
2026-03-01 01:00:00+00:00,66687.0703125,66758.3359375,66664.53125,66680.6640625,207695872
2026-03-01 01:05:00+00:00,66630.8046875,66662.453125,66623.828125,66662.453125,0
2026-03-01 01:10:00+00:00,66301.84375,66529.0390625,66237.0390625,66482.1328125,208224256
2026-03-01 01:15:00+00:00,66148.6328125,66311.625,66115.8828125,66311.625,1901535232
2026-03-01 01:20:00+00:00,66365.296875,66386.0078125,66301.9140625,66301.9140625,74182656
2026-03-01 01:25:00+00:00,66348.6796875,66460.15625,66348.6796875,66460.15625,248958976
2026-03-01 01:30:00+00:00,66524.3359375,66524.3359375,66332.7578125,66361.1796875,11100160
2026-03-01 01:35:00+00:00,66647.3671875,66647.3671875,66561.4765625,66561.4765625,88723456
2026-03-01 01:40:00+00:00,66683.4140625,66719.0703125,66664.3828125,66664.3828125,8523776
2026-03-01 01:45:00+00:00,67060.0703125,67060.0703125,66639.1015625,66639.1015625,264658944
2026-03-01 01:50:00+00:00,67484.5546875,67577.9375,67222.625,67222.625,351866880
2026-03-01 01:55:00+00:00,67271.4453125,67373.0703125,67271.4453125,67373.0703125,569520128
2026-03-01 02:00:00+00:00,68143.15625,68143.15625,67334.71875,67334.71875,0
2026-03-01 02:05:00+00:00,67937.4921875,68072.328125,67937.4921875,68016.03125,741810176
