timestamp,close,high,low,open,volume
2026-02-20 18:00:00,97.68000030517578,97.68499755859375,97.57499694824219,97.58499908447266,409
2026-02-20 19:00:00,97.7300033569336,97.74500274658203,97.6500015258789,97.67500305175781,322
2026-02-20 20:00:00,97.68000030517578,97.75499725341797,97.67500305175781,97.7249984741211,434
2026-02-20 21:00:00,97.7300033569336,97.7300033569336,97.63500213623047,97.68499755859375,149
2026-02-22 23:00:00,97.30500030517578,97.65499877929688,97.30000305175781,97.65499877929688,1901
2026-02-23 00:00:00,97.30000305175781,97.375,97.2750015258789,97.31500244140625,313
2026-02-23 01:00:00,97.3499984741211,97.38500213623047,97.28500366210938,97.30500030517578,378
2026-02-23 02:00:00,97.33999633789062,97.36499786376953,97.30500030517578,97.34500122070312,282
2026-02-23 03:00:00,97.375,97.43000030517578,97.3499984741211,97.3499984741211,355
2026-02-23 04:00:00,97.4000015258789,97.41999816894531,97.37000274658203,97.37000274658203,242
2026-02-23 05:00:00,97.40499877929688,97.44499969482422,97.3949966430664,97.40499877929688,361
2026-02-23 06:00:00,97.37000274658203,97.43000030517578,97.30000305175781,97.41500091552734,430
2026-02-23 07:00:00,97.38500213623047,97.42500305175781,97.3550033569336,97.375,432
2026-02-23 08:00:00,97.4800033569336,97.5199966430664,97.375,97.38999938964844,961
2026-02-23 09:00:00,97.55999755859375,97.56999969482422,97.46499633789062,97.48999786376953,384
2026-02-23 10:00:00,97.58999633789062,97.61499786376953,97.55999755859375,97.55999755859375,738
2026-02-23 11:00:00,97.68499755859375,97.7249984741211,97.58499908447266,97.58999633789062,1326
2026-02-23 12:00:00,97.7249984741211,97.78500366210938,97.69499969482422,97.69999694824219,1409
2026-02-23 13:00:00,97.59500122070312,97.75,97.58499908447266,97.7300033569336,888
2026-02-23 14:00:00,97.51499938964844,97.61000061035156,97.49500274658203,97.58499908447266,978
2026-02-23 15:00:00,97.58000183105469,97.59500122070312,97.45999908447266,97.50499725341797,846
2026-02-23 16:00:00,97.51499938964844,97.63500213623047,97.5,97.58499908447266,588
2026-02-23 17:00:00,97.56999969482422,97.62000274658203,97.4800033569336,97.51499938964844,623
2026-02-23 18:00:00,97.58000183105469,97.61000061035156,97.55999755859375,97.56999969482422,394
2026-02-23 19:00:00,97.63999938964844,97.66500091552734,97.55999755859375,97.58000183105469,775
2026-02-23 20:00:00,97.66500091552734,97.66500091552734,97.62999725341797,97.63500213623047,476
2026-02-23 21:00:00,97.66500091552734,97.68000030517578,97.63999938964844,97.66000366210938,0
2026-02-24 01:00:00,97.7300033569336,97.81999969482422,97.66999816894531,97.68499755859375,733
2026-02-24 02:00:00,97.69499969482422,97.75499725341797,97.69499969482422,97.7300033569336,348
2026-02-24 03:00:00,97.7699966430664,97.7699966430664,97.68000030517578,97.69000244140625,161
2026-02-24 04:00:00,97.82499694824219,97.84500122070312,97.76000213623047,97.7750015258789,422
2026-02-24 05:00:00,97.75,97.83499908447266,97.74500274658203,97.83000183105469,194
2026-02-24 06:00:00,97.7300033569336,97.76000213623047,97.72000122070312,97.75,285
2026-02-24 07:00:00,97.8499984741211,97.87999725341797,97.73500061035156,97.73500061035156,1420
2026-02-24 08:00:00,97.79000091552734,97.88999938964844,97.76499938964844,97.84500122070312,508
2026-02-24 09:00:00,97.75499725341797,97.80000305175781,97.71499633789062,97.80000305175781,313
