timestamp,open,high,low,close,volume
2026-02-23 21:25:00,64563.05,64600.0,64527.84,64558.27,21.66057
2026-02-23 21:30:00,64558.27,64599.72,64549.41,64595.99,27.87579
2026-02-23 21:35:00,64595.99,64595.99,64530.83,64542.44,39.05179
2026-02-23 21:40:00,64542.43,64783.54,64542.43,64649.68,75.92414
2026-02-23 21:45:00,64649.67,64723.13,64628.94,64716.1,20.52135
2026-02-23 21:50:00,64716.09,64722.24,64596.15,64596.16,32.81463
2026-02-23 21:55:00,64596.16,64619.84,64555.16,64580.66,54.97875
2026-02-23 22:00:00,64580.66,64776.4,64555.59,64773.02,67.24621
2026-02-23 22:05:00,64773.02,64939.54,64753.88,64932.86,432.8773
2026-02-23 22:10:00,64932.87,65004.09,64818.51,64968.59,322.08419
2026-02-23 22:15:00,64968.59,65035.98,64911.0,64916.46,255.52074
2026-02-23 22:20:00,64916.46,64981.79,64850.09,64959.59,38.25705
2026-02-23 22:25:00,64959.6,64972.48,64938.34,64941.99,33.45872
2026-02-23 22:30:00,64942.0,64942.0,64858.42,64914.36,62.28932
2026-02-23 22:35:00,64914.36,64922.85,64835.0,64882.49,70.12901
2026-02-23 22:40:00,64882.49,64882.49,64758.72,64794.5,51.96508
2026-02-23 22:45:00,64794.49,64865.04,64775.51,64840.0,25.52324
2026-02-23 22:50:00,64840.01,64878.0,64691.36,64697.61,47.03278
2026-02-23 22:55:00,64697.61,64780.25,64639.97,64725.56,45.47301
2026-02-23 23:00:00,64725.56,64770.83,64702.53,64766.63,40.86555
2026-02-23 23:05:00,64766.63,64893.07,64735.55,64891.99,31.49543
2026-02-23 23:10:00,64892.0,64900.63,64851.67,64860.22,24.10294
2026-02-23 23:15:00,64860.23,64895.19,64834.83,64838.28,13.59168
2026-02-23 23:20:00,64838.28,64860.92,64780.23,64822.77,35.04548
2026-02-23 23:25:00,64822.78,64844.53,64797.0,64839.94,13.72706
2026-02-23 23:30:00,64839.93,64847.38,64832.27,64847.38,8.19885
2026-02-23 23:35:00,64847.38,64879.88,64732.11,64732.23,22.35978
2026-02-23 23:40:00,64732.23,64759.94,64612.88,64621.91,40.97259
2026-02-23 23:45:00,64621.95,64683.0,64601.29,64619.73,45.89954
2026-02-23 23:50:00,64619.73,64619.74,64561.7,64574.16,29.30418
2026-02-23 23:55:00,64574.16,64683.77,64538.9,64656.02,99.24905
2026-02-24 00:00:00,64656.01,64769.66,64656.01,64702.46,34.3123
2026-02-24 00:05:00,64702.46,64756.63,64667.99,64750.99,24.9757
2026-02-24 00:10:00,64751.0,64895.02,64746.02,64895.02,42.6782
2026-02-24 00:15:00,64895.01,64974.51,64880.93,64974.51,38.68777
2026-02-24 00:20:00,64974.51,65026.75,64883.65,64883.66,82.34201
2026-02-24 00:25:00,64883.66,64893.77,64803.42,64858.78,32.30108
2026-02-24 00:30:00,64858.77,64883.17,64826.6,64882.66,53.00797
2026-02-24 00:35:00,64882.66,64961.42,64870.03,64935.01,28.42846
2026-02-24 00:40:00,64935.01,64986.68,64918.94,64918.95,20.61501
2026-02-24 00:45:00,64918.94,64972.75,64908.0,64970.49,25.11688
2026-02-24 00:50:00,64970.5,64999.76,64947.01,64960.77,35.80732
2026-02-24 00:55:00,64960.77,64960.77,64874.99,64941.43,19.32727
2026-02-24 01:00:00,64941.42,64941.42,64732.66,64783.31,54.69976
2026-02-24 01:05:00,64783.32,64793.3,64625.12,64625.13,36.97741
2026-02-24 01:10:00,64625.13,64631.6,64240.49,64324.95,257.76006
2026-02-24 01:15:00,64324.95,64370.01,63433.84,63773.51,914.18866
2026-02-24 01:20:00,63773.52,64328.7,63698.99,64243.26,283.11232
2026-02-24 01:25:00,64243.27,64535.09,64243.26,64432.9,193.14624
2026-02-24 01:30:00,64432.89,64614.5,64378.32,64508.4,160.86808
2026-02-24 01:35:00,64508.41,64555.65,64125.21,64146.78,118.1334
2026-02-24 01:40:00,64146.77,64408.16,64068.34,64334.0,166.87229
2026-02-24 01:45:00,64334.01,64406.45,64067.41,64293.26,89.29378
2026-02-24 01:50:00,64293.25,64339.19,64214.97,64239.75,46.21408
2026-02-24 01:55:00,64239.76,64251.55,64135.1,64160.27,81.49319
2026-02-24 02:00:00,64160.26,64257.41,64000.0,64024.89,99.5773
2026-02-24 02:05:00,64024.88,64181.22,64000.0,64120.85,56.35446
2026-02-24 02:10:00,64120.84,64322.7,64114.74,64245.23,43.66646
2026-02-24 02:15:00,64245.24,64311.78,64023.11,64147.99,69.8396
2026-02-24 02:20:00,64148.0,64206.41,64127.23,64206.39,30.95759
2026-02-24 02:25:00,64206.39,64317.25,64177.68,64313.72,37.35201
2026-02-24 02:30:00,64313.73,64500.0,64307.28,64383.41,87.98256
2026-02-24 02:35:00,64383.41,64383.41,64189.12,64270.54,37.74124
2026-02-24 02:40:00,64270.54,64277.26,64115.29,64132.43,27.15083
2026-02-24 02:45:00,64132.42,64180.53,64087.2,64167.51,59.65596
2026-02-24 02:50:00,64167.5,64167.51,64078.59,64099.99,25.82996
2026-02-24 02:55:00,64099.99,64180.88,64083.5,64109.81,23.5273
2026-02-24 03:00:00,64109.8,64109.8,63604.43,63859.52,310.2945
2026-02-24 03:05:00,63859.53,63882.0,63662.19,63783.9,104.39581
2026-02-24 03:10:00,63783.91,63853.6,63558.15,63685.23,85.71367
2026-02-24 03:15:00,63685.23,63814.7,63576.74,63814.69,76.49244
2026-02-24 03:20:00,63814.7,63853.0,63700.0,63713.98,93.95128
2026-02-24 03:25:00,63713.99,63752.35,63666.18,63705.78,63.36249
2026-02-24 03:30:00,63705.79,63766.6,63639.34,63685.75,74.37922
2026-02-24 03:35:00,63685.75,63748.0,63650.0,63693.49,42.13909
2026-02-24 03:40:00,63693.49,63789.38,63653.0,63672.47,57.77148
